protocol,server.buf_size,server.rsp_size,client.buf_size,client.msg_size,num_samples,num_warmup_rounds,timeout_sec,act_sample_count,act_warmup_rounds,min,max,p99,p999,avg,median,q25,q75,lower_bound,upper_bound,num_outliers_lo,num_outliers_hi,outliers_lo,outliers_hi,scenario,instance_type,timestamp,git_hash,architecture_id
inet,1024,64,1048576,8,1000000,10000,10,8100,900,131.083,1776.625,1418.906,1472.458,1136.419912,1201.891,1014.954,1294.058,596.298,1712.714,177,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,128,1048576,8,1000000,10000,10,30000,10000,125.261,1345.364,1139.455,1263.455,239.671502,140.072,135.631,159.722,125.261,195.8585,0,6154,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,256,1048576,8,1000000,10000,10,9000,1000,148.757,1512.841,1409.359,1470.845,1102.890966,1158.786,964.346,1276.008,496.853,1512.841,120,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,512,1048576,8,1000000,10000,10,8100,900,155.159,1489.73,1414.353,1467.947,1147.375469,1212.039,1029.945,1296.989,629.379,1489.73,179,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,1024,1048576,8,1000000,10000,10,9000,1000,131.127,1571.113,1385.845,1443.755,1058.411792,1095.213,913.371,1211.22,466.5975,1571.113,60,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,2048,1048576,8,1000000,10000,10,8100,900,188.417,1487.635,1412.182,1455.843,1142.308741,1200.042,1020.202,1293.688,609.973,1487.635,151,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,4096,1048576,8,1000000,10000,10,8100,900,137.185,1535.902,1420.926,1474.739,1119.407122,1189.664,989.488,1296.616,528.796,1535.902,182,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,8192,1048576,8,1000000,10000,10,8100,900,158.448,1608.008,1430.38,1498.046,1142.720961,1203.244,1017.239,1301.021,591.566,1608.008,165,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,16384,1048576,8,1000000,10000,10,1000,10000,176.34,1373.098,1232.009,1373.098,822.207789,836.207,599.805,1063.057,176.34,1373.098,0,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,32768,1048576,8,1000000,10000,10,9000,1000,187.536,1703.231,1410.002,1577.244,1032.738992,1061.83,888.92,1216.843,397.0355,1703.231,81,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
